Node Count,Requested Duration,Actual Duration
40,7200,1581
40,7200,1548
40,7200,3994
40,7200,1622
40,7200,1104
40,7200,1206
40,7200,893
40,7200,2159
40,7200,1389
40,7200,1863
40,7200,1921
40,7200,1593
40,7200,3637
40,7200,3910
40,7200,3804
40,7200,3921
40,7200,3257
40,7200,3987
40,7200,3915
40,7200,3774
40,7200,3825
40,7200,3164
40,7200,3521
40,7200,3285
40,7200,3514
40,7200,3932
40,7200,4094
40,7200,2311
40,7200,1989
40,7200,1558
40,7200,3376
40,7200,3845
40,7200,2358
40,7200,3215
40,7200,1291
40,7200,2237
40,7200,2105
40,7200,1486
40,7200,1245
40,7200,1854
40,7200,4344
40,7200,2003
40,7200,3293
40,7200,3017
40,7200,2040
40,7200,2167
40,7200,1318
40,7200,4198
40,7200,3000
40,7200,1760
40,7200,1627
40,7200,3943
40,7200,2119
40,7200,1679
40,7200,1510
40,7200,1621
40,7200,3365
40,7200,1990
40,7200,1337
40,7200,1504
40,7200,1733
40,7200,1774
2048,1500,1030
2048,1500,1066
2048,1500,1005
2048,1500,1013
2048,1500,1519
2136,7200,6734
6144,43200,2214
4,7200,6711
100,7200,7027
200,14400,1384
200,14400,1389
200,14400,1334
200,14400,1098
144,600,614
100,7200,6901
100,7200,6885
100,7200,6928
4,7200,7216
2,7200,7216
10,7200,6780
92,14400,3355
128,780,793
4,1800,653
32,1380,1288
16,2580,2297
8,4200,4213
256,600,613
256,2400,2416
8,1800,1820
4,900,7
4,900,7
128,21600,3818
4,900,8
100,7200,2224
4,900,12
8,4800,4433
4,7200,7213
2,7200,7227
128,300,304
2,7200,2423
2,7200,1553
4,7200,234
100,7200,2521
100,7200,6908
100,7200,2008
100,7200,223
5,3600,469
5,3600,141
4,7200,7220
2,7200,7226
4,1800,10
4,1800,17
4,1800,15
4,1800,40
2,7200,7225
4,1800,1810
2,7200,6974
16,7200,7207
16,7200,7176
4,7200,6942
16,7200,7220
16,7200,7204
144,600,626
4,1800,16
2,7200,7203
2,7200,7216
2,7200,7205
2,7200,7200
2,7200,7201
2,7200,7206
4,1800,383
4,1800,326
4,1800,872
4,1800,107
4,1800,718
2,3600,445
3,7200,2095
4,1800,183
4,7200,233
4,7200,261
4,7200,258
4,7200,258
18,600,363
27,1800,1807
4,1800,11
4,1800,150
540,3600,3611
2,3600,18
4,1800,135
4,1800,67
16,7200,16
3,600,16
100,21600,11290
4,1800,173
3,600,14
16,7200,7204
4,7200,7225
4,7200,280
4,7200,7205
4,7200,234
4,1800,87
18,600,470
27,1800,109
8,3600,3602
4,1800,402
3,7200,15
18,600,65
18,600,133
173,3600,912
4,1800,13
18,600,41
3,7200,7110
4,1800,286
4,1800,1804
18,300,308
20,1200,15
4,7200,228
4,7200,228
4,7200,5387
4,7200,5335
27,1800,1817
20,1200,132
18,1800,66
18,1800,473
20,1200,1046
27,1800,1813
4,900,8
4,1800,1070
8,1800,381
4,900,12
4,1800,534
8,1800,1816
4,1800,962
143,3600,1009
72,1800,1819
5,900,924
4,900,17
4,900,18
2,600,9
64,3000,2394
2,600,6
4,900,17
4,1800,1069
2,600,9
4,900,11
120,7200,227
2,600,7
2,600,8
8,7200,7212
27,600,349
4,900,11
2,600,9
4,900,16
1024,1800,1816
900,21600,319
2,600,8
2,600,8
27,600,364
143,1800,1803
5,900,98
5,900,905
27,600,345
4,900,14
4,900,17
4,900,11
27,1800,108
4,900,15
27,1800,411
4,900,17
27,1800,346
20,7200,7204
40,7200,2858
8,7200,4721
40,7200,2348
40,7200,3299
40,7200,3421
40,7200,3599
40,7200,3746
40,7200,3451
40,7200,3165
40,7200,2932
40,7200,3717
40,7200,3307
40,7200,4180
40,7200,3897
40,7200,3818
40,7200,3005
40,7200,3275
40,7200,3269
40,7200,3222
40,7200,3171
40,7200,3218
40,7200,3188
40,7200,3821
40,7200,1737
40,7200,3590
40,7200,3717
40,7200,3279
40,7200,2754
40,7200,3084
40,7200,3642
40,7200,2919
40,7200,3073
40,7200,3757
40,7200,3800
40,7200,3865
40,7200,3469
40,7200,3390
40,7200,3129
40,7200,3318
40,7200,3272
40,7200,2955
40,7200,3089
40,7200,3018
40,7200,3458
40,7200,3385
40,7200,3224
40,7200,3798
40,7200,3192
40,7200,2655
40,7200,3375
40,7200,3210
40,7200,3133
40,7200,3844
40,7200,3444
40,7200,3728
40,7200,3566
40,7200,3714
40,7200,3820
40,7200,3660
40,7200,3849
40,7200,3424
40,7200,3660
40,7200,3896
40,7200,3556
40,7200,3788
40,7200,3957
40,7200,3727
40,7200,3729
40,7200,3845
40,7200,3893
40,7200,3607
40,7200,3679
40,7200,3365
40,7200,3901
40,7200,3884
40,7200,3952
40,7200,3814
40,7200,3765
40,7200,3679
40,7200,3714
40,7200,3545
40,7200,3978
27,1800,234
4,900,62
2,7200,7229
4,7200,7221
4,7200,7221
4,7200,7221
4,7200,7213
27,1800,532
200,14400,1164
200,14400,647
200,14400,13
100,7200,6893
100,7200,6919
27,1800,324
27,1800,1807
20,7200,215
3,7200,7111
4,900,16
4,900,6
18,7200,7216
18,7200,7211
18,7200,7209
